user : 1990887961 (x,z,rotation)
-4.177449,-0.857527,-151.841965
-4.177449,-0.857523,-151.841965
-4.177449,-0.857519,-151.841965
-4.17745,-0.857515,-151.841965
-4.17745,-0.857512,-151.841965
-4.177451,-0.857508,-151.841965
-4.177451,-0.857504,-151.841965
-4.177452,-0.8575,-151.841965
-4.177452,-0.857497,-151.841965
-4.177452,-0.857492,-151.841965
-4.177452,-0.857488,-151.841965
-4.177451,-0.857484,-151.841965
-4.177451,-0.85748,-151.841965
-4.177451,-0.857477,-151.841965
-4.177451,-0.857473,-151.841965
-4.177451,-0.85747,-152.541977
-4.177452,-0.857467,-153.941971
-4.177452,-0.857464,-155.641968
-4.177453,-0.857462,-158.841965
-4.177453,-0.857459,-160.141968
-4.177454,-0.857456,-164.741974
-4.177454,-0.857453,-167.941971
-4.177454,-0.85745,-171.341965
-4.177454,-0.857447,-174.641983
-4.177454,-0.857444,-177.641968
-4.177454,-0.857442,179.958023
-4.177454,-0.857439,176.358032
-4.177454,-0.857437,174.358017
-4.177454,-0.857434,172.258026
-4.177455,-0.857432,169.958008
-4.177456,-0.85743,167.058014
-4.177457,-0.857428,166.258026
-4.177458,-0.857427,164.757996
-4.177458,-0.857424,163.458023
-4.177459,-0.857422,162.058014
-4.17746,-0.85742,161.258026
-4.17746,-0.857418,160.058029
-4.177461,-0.857416,158.858032
-4.177462,-0.857414,157.758026
-4.177462,-0.857412,156.258011
-4.177463,-0.85741,155.958023
-4.177464,-0.857408,155.15802
-4.177465,-0.857406,154.858017
-4.177467,-0.857404,154.758011
-4.177468,-0.857402,154.758011
-4.17747,-0.857399,154.758011
-4.177471,-0.857396,154.758011
-4.177473,-0.857393,154.758011
-4.177474,-0.85739,154.758011
-4.177475,-0.857386,154.758011
-4.177477,-0.857383,154.758011
-4.17748,-0.85738,154.758011
-4.177482,-0.857376,154.758011
-4.177484,-0.857373,154.758011
-4.177486,-0.857369,154.758011
-4.177488,-0.857366,154.758011
-4.17749,-0.857363,154.758011
-4.177492,-0.857359,154.758011
-4.177493,-0.857354,154.758011
-4.177495,-0.85735,154.758011
-4.177496,-0.857346,154.758011
-4.177497,-0.857342,154.758011
-4.177499,-0.857339,154.758011
-4.177501,-0.857336,154.758011
-4.177503,-0.857332,154.758011
-4.177505,-0.857329,154.758011
-4.177506,-0.857325,153.658005
-4.177508,-0.857321,152.758011
-4.17751,-0.857318,151.458023
-4.177512,-0.857314,147.058014
-4.177513,-0.85731,145.258011
-4.177515,-0.857306,139.258011
-4.177516,-0.857302,135.458023
-4.177518,-0.857298,131.758026
-4.177519,-0.857293,128.15802
-4.177521,-0.857289,124.558022
-4.177522,-0.857285,121.258011
-4.177523,-0.857281,118.15802
-4.177524,-0.857277,114.15802
-4.177525,-0.857273,112.758018
-4.177526,-0.857269,109.658012
-4.177527,-0.857265,106.058022
-4.177528,-0.857262,104.458015
-4.17753,-0.857259,103.058022
-4.177531,-0.857256,101.358009
-4.177533,-0.857253,100.958015
-4.177535,-0.85725,100.458015
-4.177536,-0.857248,99.858017
-4.177538,-0.857245,99.458015
-4.17754,-0.857242,99.158012
-4.177542,-0.857239,98.958023
-4.177544,-0.857237,98.958023
-4.177546,-0.857233,98.958023
-4.177548,-0.857231,98.958023
-4.17755,-0.857228,98.958023
-4.177552,-0.857226,98.958023
-4.177554,-0.857223,98.958023
-4.177556,-0.85722,98.958023
-4.177557,-0.857217,98.958023
-4.177559,-0.857214,98.958023
-4.177561,-0.857212,98.958023
-4.177563,-0.857209,98.958023
-4.177566,-0.857208,98.958023
-4.177568,-0.857206,98.958023
-4.177571,-0.857205,98.958023
-4.177574,-0.857205,98.958023
-4.177577,-0.857204,98.958023
-4.17758,-0.857203,98.958023
-4.177583,-0.857202,98.958023
-4.177587,-0.857202,98.958023
-4.17759,-0.857202,98.958023
-4.177594,-0.857202,98.958023
-4.177598,-0.857203,98.958023
-4.177603,-0.857203,98.958023
-4.177608,-0.857204,97.758018
-4.177613,-0.857204,96.65802
-4.177619,-0.857206,95.258018
-4.177624,-0.857207,90.858009
